month,product,revenue,units_sold
2024-01,Product_A,12000,240
2024-02,Product_A,13500,270
2024-03,Product_A,11800,236
2024-04,Product_A,15200,304
2024-05,Product_A,16800,336
2024-06,Product_A,14100,282
2024-07,Product_A,17500,350
2024-08,Product_A,19200,384
2024-09,Product_A,18400,368
2024-10,Product_A,21000,420
2024-11,Product_A,23500,470
2024-12,Product_A,26000,520
2024-01,Product_B,8000,160
2024-02,Product_B,7500,150
2024-03,Product_B,8800,176
2024-04,Product_B,9200,184
2024-05,Product_B,8600,172
2024-06,Product_B,10100,202
2024-07,Product_B,9800,196
2024-08,Product_B,11200,224
2024-09,Product_B,10500,210
2024-10,Product_B,12000,240
2024-11,Product_B,11800,236
2024-12,Product_B,13500,270
2024-01,Product_C,5000,100
2024-02,Product_C,5200,104
2024-03,Product_C,4800,96
2024-04,Product_C,5500,110
2024-05,Product_C,6100,122
2024-06,Product_C,5900,118
2024-07,Product_C,6800,136
2024-08,Product_C,7200,144
2024-09,Product_C,6500,130
2024-10,Product_C,7800,156
2024-11,Product_C,8500,170
2024-12,Product_C,9200,184
